Inference - 20221211_17.04
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_17.04
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00013 PSNR=22.142, SSIM=0.7840 pre_time:0.036s, forward_time:0.019s, post_time:0.014s, total_time:0.069s
> 00014 PSNR=21.332, SSIM=0.7763 pre_time:0.021s, forward_time:0.019s, post_time:0.013s, total_time:0.053s
> 00015 PSNR=21.231, SSIM=0.7762 pre_time:0.039s, forward_time:0.019s, post_time:0.013s, total_time:0.071s
> 00016 PSNR=21.680, SSIM=0.7763 pre_time:0.044s, forward_time:0.019s, post_time:0.013s, total_time:0.076s
> 00017 PSNR=22.069, SSIM=0.7841 pre_time:0.043s, forward_time:0.019s, post_time:0.013s, total_time:0.074s
> 00018 PSNR=22.123, SSIM=0.7907 pre_time:0.005s, forward_time:0.019s, post_time:0.013s, total_time:0.036s
> 00019 PSNR=20.299, SSIM=0.7622 pre_time:0.025s, forward_time:0.019s, post_time:0.013s, total_time:0.057s
> 00020 PSNR=20.538, SSIM=0.7803 pre_time:0.043s, forward_time:0.019s, post_time:0.012s, total_time:0.074s
> 00021 PSNR=20.566, SSIM=0.7842 pre_time:0.020s, forward_time:0.019s, post_time:0.013s, total_time:0.052s
> 00022 PSNR=20.762, SSIM=0.7858 pre_time:0.058s, forward_time:0.019s, post_time:0.012s, total_time:0.089s
> 00023 PSNR=20.860, SSIM=0.7859 pre_time:0.052s, forward_time:0.019s, post_time:0.012s, total_time:0.083s
> 00024 PSNR=21.054, SSIM=0.7991 pre_time:0.039s, forward_time:0.019s, post_time:0.013s, total_time:0.071s
> 00025 PSNR=19.610, SSIM=0.7875 pre_time:0.042s, forward_time:0.019s, post_time:0.014s, total_time:0.075s
> 00026 PSNR=19.956, SSIM=0.7905 pre_time:0.029s, forward_time:0.022s, post_time:0.014s, total_time:0.065s
> 00027 PSNR=20.013, SSIM=0.7954 pre_time:0.021s, forward_time:0.021s, post_time:0.013s, total_time:0.055s
> 00028 PSNR=20.155, SSIM=0.7999 pre_time:0.031s, forward_time:0.022s, post_time:0.013s, total_time:0.065s
> 00029 PSNR=22.190, SSIM=0.8275 pre_time:0.005s, forward_time:0.022s, post_time:0.012s, total_time:0.039s
> 00030 PSNR=22.751, SSIM=0.8305 pre_time:0.035s, forward_time:0.022s, post_time:0.012s, total_time:0.070s
> 00031 PSNR=23.120, SSIM=0.8338 pre_time:0.006s, forward_time:0.022s, post_time:0.012s, total_time:0.040s
> 00032 PSNR=24.236, SSIM=0.8546 pre_time:0.030s, forward_time:0.022s, post_time:0.013s, total_time:0.065s
> 00033 PSNR=24.608, SSIM=0.8559 pre_time:0.032s, forward_time:0.021s, post_time:0.012s, total_time:0.065s
> 00034 PSNR=24.945, SSIM=0.8600 pre_time:0.024s, forward_time:0.021s, post_time:0.013s, total_time:0.058s
> 00035 PSNR=25.238, SSIM=0.8596 pre_time:0.052s, forward_time:0.021s, post_time:0.012s, total_time:0.086s
> 00036 PSNR=25.336, SSIM=0.8687 pre_time:0.018s, forward_time:0.021s, post_time:0.013s, total_time:0.052s
> 00037 PSNR=26.091, SSIM=0.8784 pre_time:0.005s, forward_time:0.021s, post_time:0.012s, total_time:0.038s
> 00038 PSNR=26.266, SSIM=0.8790 pre_time:0.054s, forward_time:0.021s, post_time:0.013s, total_time:0.088s
> 00039 PSNR=26.544, SSIM=0.8810 pre_time:0.039s, forward_time:0.021s, post_time:0.012s, total_time:0.072s
> 00040 PSNR=26.308, SSIM=0.8786 pre_time:0.041s, forward_time:0.021s, post_time:0.012s, total_time:0.074s
> 00041 PSNR=26.233, SSIM=0.8799 pre_time:0.021s, forward_time:0.021s, post_time:0.013s, total_time:0.055s
> 00042 PSNR=26.191, SSIM=0.8857 pre_time:0.025s, forward_time:0.021s, post_time:0.014s, total_time:0.060s
> 00043 PSNR=26.623, SSIM=0.8803 pre_time:0.023s, forward_time:0.021s, post_time:0.012s, total_time:0.056s
> 00044 PSNR=26.913, SSIM=0.8891 pre_time:0.020s, forward_time:0.021s, post_time:0.013s, total_time:0.054s
> 00045 PSNR=26.912, SSIM=0.8887 pre_time:0.005s, forward_time:0.021s, post_time:0.012s, total_time:0.038s
> 00046 PSNR=27.156, SSIM=0.8983 pre_time:0.015s, forward_time:0.021s, post_time:0.013s, total_time:0.049s
> 00047 PSNR=27.224, SSIM=0.9025 pre_time:0.005s, forward_time:0.021s, post_time:0.012s, total_time:0.038s
> 00048 PSNR=27.147, SSIM=0.9000 pre_time:0.004s, forward_time:0.021s, post_time:0.013s, total_time:0.038s
