Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00034 PSNR=19.062, SSIM=0.6984 pre_time:0.007s, forward_time:0.026s, post_time:0.013s, total_time:0.046s, prior_image:False
> 00035 PSNR=18.845, SSIM=0.6867 pre_time:0.005s, forward_time:0.026s, post_time:0.039s, total_time:0.070s, prior_image:False
> 00036 PSNR=18.975, SSIM=0.6985 pre_time:0.004s, forward_time:0.026s, post_time:0.056s, total_time:0.086s, prior_image:False
> 00037 PSNR=19.580, SSIM=0.7210 pre_time:0.004s, forward_time:0.026s, post_time:0.070s, total_time:0.101s, prior_image:False
> 00038 PSNR=20.514, SSIM=0.7497 pre_time:0.005s, forward_time:0.026s, post_time:0.014s, total_time:0.045s, prior_image:False
> 00039 PSNR=21.953, SSIM=0.7832 pre_time:0.004s, forward_time:0.026s, post_time:0.064s, total_time:0.093s, prior_image:False
> 00040 PSNR=22.828, SSIM=0.8142 pre_time:0.006s, forward_time:0.026s, post_time:0.157s, total_time:0.189s, prior_image:False
> 00041 PSNR=20.318, SSIM=0.7741 pre_time:0.008s, forward_time:0.026s, post_time:0.013s, total_time:0.047s, prior_image:False
> 00042 PSNR=18.765, SSIM=0.7300 pre_time:0.003s, forward_time:0.026s, post_time:0.013s, total_time:0.042s, prior_image:False
> 00043 PSNR=18.037, SSIM=0.6979 pre_time:0.005s, forward_time:0.026s, post_time:0.021s, total_time:0.052s, prior_image:False
> 00044 PSNR=18.085, SSIM=0.6808 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s, prior_image:False
> 00045 PSNR=18.590, SSIM=0.6826 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s, prior_image:False
> 00046 PSNR=17.866, SSIM=0.6848 pre_time:0.005s, forward_time:0.026s, post_time:0.046s, total_time:0.077s, prior_image:False
> 00047 PSNR=18.014, SSIM=0.7049 pre_time:0.005s, forward_time:0.026s, post_time:1.066s, total_time:1.097s, prior_image:False
> 00048 PSNR=18.654, SSIM=0.7429 pre_time:0.008s, forward_time:0.022s, post_time:0.218s, total_time:0.247s, prior_image:False
> 00049 PSNR=20.053, SSIM=0.7511 pre_time:0.004s, forward_time:0.022s, post_time:0.064s, total_time:0.090s, prior_image:False
> 00050 PSNR=20.626, SSIM=0.7699 pre_time:0.005s, forward_time:0.022s, post_time:0.017s, total_time:0.044s, prior_image:False
> 00051 PSNR=20.594, SSIM=0.7666 pre_time:0.004s, forward_time:0.022s, post_time:0.013s, total_time:0.038s, prior_image:False
> 00052 PSNR=20.246, SSIM=0.7698 pre_time:0.003s, forward_time:0.022s, post_time:0.031s, total_time:0.056s, prior_image:False
> 00053 PSNR=20.280, SSIM=0.7743 pre_time:0.005s, forward_time:0.022s, post_time:0.085s, total_time:0.111s, prior_image:False
> 00054 PSNR=20.039, SSIM=0.7733 pre_time:0.005s, forward_time:0.022s, post_time:0.067s, total_time:0.094s, prior_image:False
