Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
> 00010 PSNR=16.344, SSIM=0.5681 pre_time:0.004s, forward_time:0.017s, post_time:0.042s, total_time:0.062s, prior_image:False
> 00011 PSNR=16.500, SSIM=0.5708 pre_time:0.004s, forward_time:0.017s, post_time:0.055s, total_time:0.077s, prior_image:False
> 00012 PSNR=16.657, SSIM=0.5880 pre_time:0.004s, forward_time:0.017s, post_time:0.022s, total_time:0.043s, prior_image:False
> 00013 PSNR=17.020, SSIM=0.6060 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.027s, prior_image:False
> 00014 PSNR=17.329, SSIM=0.5997 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.027s, prior_image:False
> 00015 PSNR=17.448, SSIM=0.6034 pre_time:0.004s, forward_time:0.017s, post_time:0.007s, total_time:0.028s, prior_image:False
> 00016 PSNR=17.517, SSIM=0.6077 pre_time:0.019s, forward_time:0.017s, post_time:0.005s, total_time:0.041s, prior_image:False
> 00017 PSNR=17.444, SSIM=0.6036 pre_time:0.003s, forward_time:0.017s, post_time:0.045s, total_time:0.066s, prior_image:False
> 00018 PSNR=16.771, SSIM=0.5758 pre_time:0.004s, forward_time:0.017s, post_time:0.059s, total_time:0.080s, prior_image:False
> 00019 PSNR=16.651, SSIM=0.5648 pre_time:0.006s, forward_time:0.017s, post_time:0.042s, total_time:0.066s, prior_image:False
> 00020 PSNR=17.078, SSIM=0.5825 pre_time:0.004s, forward_time:0.017s, post_time:0.005s, total_time:0.026s, prior_image:False
> 00021 PSNR=17.426, SSIM=0.5961 pre_time:0.003s, forward_time:0.017s, post_time:0.039s, total_time:0.060s, prior_image:False
> 00022 PSNR=17.712, SSIM=0.6134 pre_time:0.004s, forward_time:0.017s, post_time:0.050s, total_time:0.072s, prior_image:False
> 00023 PSNR=17.870, SSIM=0.6148 pre_time:0.004s, forward_time:0.017s, post_time:0.040s, total_time:0.061s, prior_image:False
> 00024 PSNR=18.016, SSIM=0.6177 pre_time:0.090s, forward_time:0.017s, post_time:0.058s, total_time:0.165s, prior_image:False
> 00025 PSNR=18.190, SSIM=0.6323 pre_time:0.004s, forward_time:0.017s, post_time:0.048s, total_time:0.070s, prior_image:False
> 00026 PSNR=18.910, SSIM=0.6313 pre_time:0.004s, forward_time:0.017s, post_time:0.054s, total_time:0.075s, prior_image:False
> 00027 PSNR=19.133, SSIM=0.6419 pre_time:0.004s, forward_time:0.017s, post_time:0.043s, total_time:0.064s, prior_image:False
> 00028 PSNR=19.335, SSIM=0.6342 pre_time:0.003s, forward_time:0.017s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00029 PSNR=19.893, SSIM=0.6614 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.027s, prior_image:False
> 00030 PSNR=19.818, SSIM=0.6523 pre_time:0.016s, forward_time:0.017s, post_time:0.028s, total_time:0.061s, prior_image:False
> 00031 PSNR=18.905, SSIM=0.6335 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.027s, prior_image:False
