Inference - 20221211_18.30
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.30
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
Starting inference
Starting the images
> 00018 PSNR=19.324, SSIM=0.7030 pre_time:0.006s, forward_time:0.016s, post_time:0.012s, total_time:0.034s, prior_image:True
> 00019 PSNR=17.771, SSIM=0.5993 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00020 PSNR=18.426, SSIM=0.6549 pre_time:0.004s, forward_time:0.016s, post_time:0.058s, total_time:0.078s, prior_image:True
> 00021 PSNR=18.863, SSIM=0.6853 pre_time:0.004s, forward_time:0.016s, post_time:0.053s, total_time:0.074s, prior_image:True
> 00022 PSNR=19.160, SSIM=0.7016 pre_time:0.004s, forward_time:0.016s, post_time:0.034s, total_time:0.054s, prior_image:True
> 00023 PSNR=19.466, SSIM=0.7134 pre_time:0.004s, forward_time:0.016s, post_time:0.060s, total_time:0.080s, prior_image:True
> 00024 PSNR=19.760, SSIM=0.7271 pre_time:0.004s, forward_time:0.016s, post_time:0.026s, total_time:0.046s, prior_image:True
> 00025 PSNR=17.671, SSIM=0.6002 pre_time:0.004s, forward_time:0.016s, post_time:0.051s, total_time:0.071s, prior_image:True
> 00026 PSNR=18.474, SSIM=0.6580 pre_time:0.006s, forward_time:0.016s, post_time:0.051s, total_time:0.073s, prior_image:True
> 00027 PSNR=19.166, SSIM=0.7108 pre_time:0.012s, forward_time:0.016s, post_time:0.056s, total_time:0.084s, prior_image:True
